TimeÜFPS
0,9801735Ü156,9728
1,980704Ü350,814
2,982204Ü343,4843
3,984244Ü342,302
4,98689Ü342,0949
5,989455Ü345,1148
6,989462Ü344,9974
7,991226Ü339,4016
8,991484Ü339,9121
9,991529Ü341,9845
10,99296Ü342,5098
11,99542Ü338,1689
12,99769Ü343,2206
13,9999Ü341,2457
15,00169Ü341,3897
16,00307Ü344,5235
17,00394Ü344,6986
18,00582Ü341,3606
19,00786Ü342,3003
