0,9881184,52,5732
1,991883,77,70742
2,994238,77,81674
3,995246,77,92147
4,996824,78,87556
6,00059,78,70354
7,005555,76,61964
8,009583,78,6831
9,023403,78,90939
10,02712,78,70772
11,02817,78,91714
12,03048,78,81799
